"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Coding\ratecollegeclubs\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Coding\ratecollegeclubs\frontend\src\screens\AdminScreen.js", "JavaScript", 131, 0, 0, 0, 0, 2, 19, 152
"c:\Coding\ratecollegeclubs\frontend\src\screens\ClubInterviewScreen.js", "JavaScript", 338, 0, 0, 0, 0, 1, 19, 358
"c:\Coding\ratecollegeclubs\frontend\src\screens\ClubPostScreen.js", "JavaScript", 538, 0, 0, 0, 0, 32, 19, 589
"c:\Coding\ratecollegeclubs\frontend\src\screens\ClubScreen.js", "JavaScript", 341, 0, 0, 0, 0, 2, 20, 363
"c:\Coding\ratecollegeclubs\frontend\src\screens\HomeScreen.js", "JavaScript", 55, 0, 0, 0, 0, 4, 7, 66
"c:\Coding\ratecollegeclubs\frontend\src\screens\ReviewPostScreen.js", "JavaScript", 511, 0, 0, 0, 0, 30, 22, 563
"c:\Coding\ratecollegeclubs\frontend\src\screens\SchoolPostScreen.js", "JavaScript", 860, 0, 0, 0, 0, 33, 20, 913
"c:\Coding\ratecollegeclubs\frontend\src\screens\SchoolScreen.js", "JavaScript", 256, 0, 0, 0, 0, 2, 14, 272
"c:\Coding\ratecollegeclubs\frontend\src\store.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 25
"c:\Coding\ratecollegeclubs\package-lock.json", "JSON", 0, 3206, 0, 0, 0, 0, 1, 3207
"c:\Coding\ratecollegeclubs\package.json", "JSON", 0, 35, 0, 0, 0, 0, 1, 36
"Total", "-", 5315, 20056, 1, 20, 586, 354, 500, 26832
